date,description,amount,category,payment_mode,is_anomaly
2024-04-05,Water tax,1962.0,Bills & Utilities,Debit Card,0
2023-06-03,Books - Amazon,12916.48,Education,UPI,0
2024-07-18,Netmeds delivery,2667.94,Health,UPI,0
2023-05-12,Stationery,12107.44,Education,UPI,0
2023-09-06,MedPlus medicine,3651.73,Health,Credit Card,0
2023-07-14,Subway (unusual),3041.7,Food,Net Banking,1
2024-04-15,Sony LIV,626.93,Entertainment,Cash,0
2023-12-29,Petrol - HP pump,4194.71,Transport,UPI,0
2023-10-13,Society maintenance,1797.79,Bills & Utilities,Cash,0
2024-07-07,YouTube Premium,806.22,Entertainment,Credit Card,0
2024-03-29,SIP - Groww,4807.24,EMI & Finance,Net Banking,0
2024-04-08,Burger King,1166.14,Food,Credit Card,0
2024-09-11,Thyrocare test,2699.73,Health,UPI,0
2023-06-15,Doctor consultation fee,4000.27,Health,Debit Card,0
2024-03-28,ICICI personal loan EMI,16653.61,EMI & Finance,UPI,0
2024-02-09,Myntra clothes,3951.2,Shopping,UPI,0
2023-04-11,Books - Amazon,7449.41,Education,Debit Card,0
2023-06-20,BESCOM electricity,1671.52,Bills & Utilities,Debit Card,0
2023-06-29,Laundry service - Urban Company,1808.35,Personal Care,UPI,0
2023-02-05,HDFC Life insurance,12292.5,EMI & Finance,UPI,0
2024-11-10,Haldiram's,995.16,Food,UPI,0
2023-12-28,JioMart,2430.46,Groceries,UPI,0
2024-01-13,Gym membership,1216.08,Personal Care,UPI,0
2023-11-08,Flipkart order,5621.4,Shopping,Credit Card,0
2023-10-12,Udemy course,14392.15,Education,Net Banking,0
2024-10-20,Local kirana store,1257.99,Groceries,Debit Card,0
2023-03-12,Local kirana store,2423.4,Groceries,Debit Card,0
2023-08-07,Books - Amazon,1833.21,Education,UPI,0
2023-03-19,Local kirana store,1961.02,Groceries,Cash,0
2023-01-23,DTH recharge - Tata Sky,3210.84,Bills & Utilities,UPI,0
2024-02-04,INOX movies,1336.33,Entertainment,Debit Card,0
2023-12-21,Myntra clothes,2716.75,Shopping,Debit Card,0
2024-01-03,Swiggy order,867.76,Food,Debit Card,0
2024-11-05,DTH recharge - Dish TV,1174.26,Bills & Utilities,Cash,0
2024-08-28,Netflix subscription (unusual),7472.07,Entertainment,Credit Card,1
2024-01-19,Coaching institute fee,3918.78,Education,Cash,0
2023-01-01,Big Bazaar,7637.3,Shopping,Net Banking,0
2023-03-11,SIP - Groww,19219.55,EMI & Finance,UPI,0
2023-03-24,Nykaa beauty,6926.67,Shopping,UPI,0
2024-10-05,Spencer's retail,787.76,Shopping,Cash,0
2024-11-15,Local kirana store,1947.39,Groceries,Credit Card,0
2023-06-23,YouTube Premium,334.7,Entertainment,Debit Card,0
2024-09-24,Beauty parlour,2220.02,Personal Care,UPI,0
2024-10-17,Salon haircut,2369.72,Personal Care,Debit Card,0
2023-02-28,Nykaa skincare,758.93,Personal Care,Cash,0
2024-06-14,Netmeds delivery,961.84,Health,Cash,0
2024-08-03,Nykaa skincare,370.05,Personal Care,UPI,0
2023-11-17,HDFC Life insurance,11170.79,EMI & Finance,Debit Card,0
2023-09-22,Yoga class fee,1494.56,Personal Care,Credit Card,0
2023-07-31,1mg order,3119.14,Health,Debit Card,0
2024-11-26,Gym membership,1169.87,Personal Care,UPI,0
2023-10-15,Burger King,995.47,Food,UPI,0
2023-09-10,More supermarket,491.68,Groceries,Net Banking,0
2024-10-31,SBI home loan EMI,3162.43,EMI & Finance,UPI,0
2024-10-25,Netmeds delivery,750.29,Health,UPI,0
2023-05-17,INOX movies (unusual),4031.71,Entertainment,Credit Card,1
2024-10-07,BookMyShow movie,346.43,Entertainment,UPI,0
2024-07-07,SBI credit card payment,21877.55,EMI & Finance,UPI,0
2024-04-08,SIP - Groww,8011.29,EMI & Finance,Debit Card,0
2024-08-02,HDFC Life insurance,14523.91,EMI & Finance,UPI,0
2023-02-06,McDonald's,246.46,Food,UPI,0
2024-12-18,Dunzo grocery,1725.27,Groceries,UPI,0
2023-01-02,BSNL broadband,3457.18,Bills & Utilities,Debit Card,0
2024-02-26,PPF deposit,6900.28,EMI & Finance,Debit Card,0
2024-02-10,Local kirana store,454.87,Groceries,UPI,0
2024-12-02,Spencer's retail,5682.08,Shopping,Cash,0
2024-02-14,Dominos Pizza,177.26,Food,UPI,0
2023-06-06,Dominos Pizza,508.55,Food,Credit Card,0
2024-04-16,Gym membership,355.81,Personal Care,UPI,0
2023-09-12,GeeksForGeeks premium,9753.62,Education,UPI,0
2023-04-01,IRCTC train ticket,2206.75,Transport,Credit Card,0
2024-12-08,Local dhaba,431.34,Food,UPI,0
2023-06-01,Salon haircut,2280.27,Personal Care,UPI,0
2024-10-13,Dominos Pizza,374.2,Food,Cash,0
2024-02-20,Nykaa skincare,1600.51,Personal Care,Debit Card,0
2023-06-22,Reliance Digital,7613.11,Shopping,UPI,0
2024-03-18,PVR Cinemas,226.81,Entertainment,UPI,0
2023-09-04,Fortis hospital,4148.16,Health,UPI,0
